Station,", Site Name ( 10)",", Site Stability ( )",", Water Table (Depth (m) )",", ""Notes"" (Description of Building or Instrument Housing)",", Topography ( )",", Nearby Faults ( )"
SOCS,Lower Hutt St Orans College,Stable,,"Concrete floor of light, 1-storey, timber-framed steel-clad workshop/garage, approx. 6m x 16m.","Flat site on floor of 2.5km wide alluvial valley, floodplain of Hutt River.","Wellington (Hutt Valley) (c. 1 km), Moonshine (c. 6 km), Whitemans (c. 7 km), Ohariu S (c. 10 km), Ohariu C (c. 11 km)"
SPFS,Springfield Fire Station,Stable,,"Concrete floor of 1-storey house-type building, concrete block walls, iron roof",River terrace (of Waimakariri River) at western edge of Canterbury Plains. Within 1km of foothills of Southern Alps.,"Springfield (c. 5 km), Porters-Grey (c. 7 km), Cust (c. 10 km), Ashley (c. 11 km), Hororata (c. 12 km)"
SWNC,Swananoa School,Stable,,"Concrete floor of ""Skyline"" type shed (light timber frame, iron cladding).","Canterbury Plains, 17 km from coast, 7 km from Waimakariri River.","Springbank (c. 8 km), Cust (c. 11 km), Ashley (c. 12 km) "
SYZ,Waikawa Valley,Stable,,On concrete floor of purpose-built instrument vault,Side of ridge in rolling hill country,Settlement (c. 30 km) 
TACS,Te Aroha College,Stable,,"Concrete floor of light, 1-storey, timber-framed / fibrolite-clad, building with iron roof.","Flat land, about 2km from eastern edge of 20km wide Hauraki Plain","Kerepehi C (c. 6 km), Kerepehi N (c. 12 km), Kerepehi S (c. 18 km) "
TAFS,Te Anau Fire Station,Low Liquefaction Susceptibility,4,Concrete floor of shed at rear of fire station?,Flat site on river delta near Lake Te Anau,Te Anau (c. 2 km) 
TBAS,Tolaga Bay Area School,Low Liquefaction Susceptibility,,"Concrete floor of small, light, 1-storey timber building with an iron roof (about 3m x 4m)",Flat low land adjacent to estuary,"Hikurangi Subduction Zone, Marau F33 (c. 8 km), Pakarai (c. 17 km), Raukumara F27 (c. 18 km), "
TBCS,Tauranga Boys College,Low Landslide Susceptibility,,"Concrete floor of boiler house beneath one end of 1-storey timber-framed classroom block. The boiler house has reinforced concrete walls and ceiling, and the floor is at ground level. Size: approx. 5m x 5m x 3m high.",Near edge of 4m rise in flat terrace,Mayr 1 (c. 21 km) 
TDHS,Te Araroa District High School,Low Liquefaction Susceptibility,3,"Concrete floor of light, 1-storey wooden building, corrugated iron roof.","Semicircular coastal plain, with site c500m from toe of hill.",East Cape (c. 15 km) 
TEPS,Wellington Te Papa Museum,Stable,,"Instrument mounted on concrete ground beam beneath museum building, unisolated.",Reclaimed land near harbour. Improved by dynamic construction prior to construction of museum.,"Wellington (Hutt Valley) (c. 2 km), Ohariu S (c. 6 km), Moonshine (c. 9 km), Pukerua-Shepherds (c. 10 km), Whitemans (c. 12 km)"
TFSS,Wellington Thorndon Fire Station,Low Liquefaction Susceptibility,,Concrete floor of 1 storey (high stud) reinforced concrete masonry building,At 1840 shoreline beside mouth of former Pipitea Stream,"Wellington (Hutt Valley) (c. 0.7 km), Ohariu S (c. 5 km), Moonshine (c. 7 km), Pukerua-Shepherds (c. 9 km), Whitemans (c. 12 km)"
THPS,Taihape Primary School,Low Landslide Susceptibility,,"Concrete floor of light, 1-storey, timber building with iron roof (about 10m x 10m)",Flat terrace site (1km wide terrace),"Taihape (c. 0.8 km), Rangitikei (c. 3 km), Mataroa (c. 5 km), Snowgrass (c. 18 km), Rangipo S (c. 20 km)"
THZ,Top House,Stable,,On concrete floor of purpose-built instrument vault,Part-way of moderately steep slope at foot of mountain range,"Waimea S (c. 1 km), Wairau (c. 2 km), Alpine (Kaniere-Tophouse) (c. 4 km) "
TIRS,Atiamuri Tirohanga School,Stable,,"Concrete floor of light, 1-storey, garage, timber framed, steel clad walls and roof (about 8m x 8m)","Valley of Waikato river, near western margin of Taupo Volcanic Zone. Flat land adjacent to rolling hill country.","Whangamata W (c. 10 km), Ohakuri (c. 12 km), Puketerata (c. 13 km), Whangamata (c. 13 km), Tuahu (c. 15 km)"
TKAS,Tekapo A Power Station (Meridian),Stable,,Concrete floor of small (c. 5 m x 5 m) shed adjacent to concrete reservoir,Terrace on rock ridge,"Irishman Creek (c. 7 km), Fox Pk (c. 18 km) "
TKHS,Te Kuiti High School,Low Landslide Susceptibility,,"Concrete floor of brick-walled boiler-house. One storey, about 5m x 5m.",Flat site in gently rolling hill country,Turi N (c. 50 km) 
TMBS,Taieri Beach School,Low Liquefaction Susceptibility,,"Concrete floor of school storage shed (c. 4 m x 15 m), timber frame, iron clad.",Coastal plain (about 1km x 4km) at mouth of Taieri River,Akatore (c. 0.4 km) 
TMDS,Te Marua Water Treatment Plant,Low Landslide Susceptibility,,"Concrete ground floor of 1-storey, reinforced-concrete shear-wall, industrial building",On cut platform about half-way up a gently sloping ridge in low hill country,"Wellington (Hutt Valley) (c. 0.3 km), Wellington (Tararua East) (c. 6 km), Akatarawa-Otaki (c. 6 km), Moonshine (c. 7 km), Whitemans (c. 13 km)"
TMHS,Thames High School,Low Landslide Susceptibility,,"Concrete floor of light, 1-storey, garage with timber-framed / fibrolite-clad walls, iron roof","Flat site, 200m from sea, on 800m wide coastal plain at foot of steep hill",Kerepehi N (c. 15 km) 
TOZ,Tahuroa Road,Stable,,On concrete floor of purpose-built instrument vault,Rock outdrop at crest of ridge in rolling hill country,Kerepehi C (c. 19 km) 
TPLC,Templeton School,Stable,,"Concrete floor of ""Skyline"" type shed (light timber frame, iron cladding).","Canterbury Plains, 14 km from city centre, 11 km from Banks Peninsula.",Springbank (c. 25 km) 
TPPS,Taupo Police Station,Stable,,"Concrete floor of 2-storey building, concrete block ground floor (garage) beneath timber framed and clad upper storey (accommodation). One side of Police station complex.(Approximate dimensions 7m x 10m)","Near lake outlet, old terrace level","Aratiatia (c. 5 km), Kaiapo (c. 5 km), Whakaipo (c. 7 km), Ngangiho (c. 10 km), Orakonui (c. 12 km)"
TRCS,Timaru Roncalli College,Stable,,"Concrete floor of light building (c. 15 m x 30 m), timber frame, iron cladding",Broad flat terrace,Brothers (c. 19 km) 
TSFS,Takaka Scott's Farm,Stable,,Concrete floor of concrete block basement beneath light 1-storey timber house with tiled (iron?) roof,Rock site cut into hillside on edge piedmont coastal plain,White Creek (c. 51 km) 
TSZ,Takapari Road,Stable,,On concrete floor of purpose-built instrument vault,At base of ridge in moderately steep hill country,"Ruahine Reverse (c. 3 km), Ruahine S (c. 5 km), Mohaka S (c. 8 km), Pahongina Anticline (c. 9 km), Wellington (Pahiatua) (c. 14 km)"
TTHS,Turangi Tongariro High School,Stable,20,"Concrete floor of light, timber-framed classroom block, one storey high.",Flat terrace site (300m from Tongariro River),"Poutu (c. 5 km), Waihi E (c. 7 km), Waihi W (c. 10 km), Treetrunk (c. 10 km), Waihi S (c. 17 km)"
TUDS,Tuai Power Station (Genesis),Stable,,"Concrete floor of light single-storey building adjacent to turbine hall (current location). Building has timber frame, hardboard interior lining, brick wall cladding, corrugated iron roof. (Approximate dimensions 6m x 6m)",Floor of c. 200 m wide valley with moderately steep sides,"Waimana S (c. 11 km), Urewera 1 (c. 11 km) "
TUHS,Taumarunui High School,Stable,,Concrete floor of single-storied timber school building,"Terrace above Ongarue River, surrounded by hill country",Raurimu (c. 33 km) 
TUZ,Tuapeka,Stable,,On concrete floor of purpose-built instrument vault,Near crest of ridge in rolling hill country,Blue Mountains (c. 22 km) 
TWAS,Twizel Area School,Stable,,"Concrete floor of light, 1-storey, timber-framed school building, ribrolite wall cladding, iron roof","Large (5km x 5km) terrace, former floodplain of Twizel River","Ostler (c. 5 km), Irishman Creek (c. 19 km) "
UHCS,Upper Hutt College,Stable,,"Concrete floor of light, timber-framed, 1-storey shed (c 3m x 4m), attached to timber classroom block",Flat floor of 2km wide alluvial valley. Floodplain of Hutt River.,"Wellington (Hutt Valley) (c. 0.7 km), Akatarawa-Otaki (c. 2 km), Whitemans (c. 3 km), Moonshine (c. 5 km), Ohariu C (c. 13 km)"
URZ,Urewera,Stable,,On concrete floor of purpose-built instrument vault,Terrace amongst moderately-steep hills,"Waimana N (c. 0.4 km), Waikaremoana (c. 5 km), Whakatane N (c. 9 km), Wairata (c. 20 km), "
URZ (old),Urewera,Stable,,On concrete floor of purpose-built instrument vault,,"Waimana N (c. 0.4 km), Waikaremoana (c. 5 km), Whakatane N (c. 9 km), Wairata (c. 20 km), "
VRZ,Vera Road,Stable,,On concrete floor of purpose-built instrument vault,Near-flat crest of broad ridge,Inglewood (c. 39 km) 
WAIS,Wairakei Research Centre,Stable,,"Concrete floor of small annex to light timber framed building, one storey (Grange Building). The floor of the annex is 250mm below ground surface and has concrete walls approx 400mm high. Size: approx 1m x 2m.","River terrace, approx 50m wide, above Waikato river.","Aratiatia (c. 4 km), Kaiapo (c. 4 km), Whakaipo (c. 6 km), Orakonui (c. 7 km), Orakeikorako (c. 9 km)"
WAKC,Waikari,Stable,,"Concrete floor of ""Skyline"" type garage (light timber frame, iron cladding).","Amuri Plains, 1 km from range front","Kaiwara S (c. 0.3 km), Lowry (c. 7 km), Omihi (c. 11 km), Waitohi (c. 19 km), "
WAKS,Whakarara Rangimaire Farm,Stable,,"Concrete floor of high-stud, wood-pole frame, iron-clad farm shed","Rolling hill country, foothills to Ruahine range","Mohaka S (c. 1 km), Ruahine C (c. 3 km), Ruahine S (c. 16 km) "
WAZ,Wanganui,Stable,,On concrete floor of purpose-built instrument vault,Crest of ridge in steep hill country,"Nukumaru-Waitototara 1-6 (c. 11 km), Waitototara 10-11 (c. 18 km), Ridge Road-Okaia 2 (c. 19 km) "
WBCS,Westport Buller District Council,High Liquefaction Susceptibility,15,"Concrete floor of light, 1-storey, steel-framed and clad garage (Sites 051D, 266B, WBCS )","Flat piedmont coastal floodplain, c12km wide, between Buller river and Orowati Lagoon.",Paparoa RF (c. 8 km) 
WBFS,Weber Fire Station,Low Landslide Susceptibility,,"Concrete floor of light block and timber-framed building. Concrete block walls to 1m height, then timber. Corrugated-iron wall and roof claddings. (c. 8 m x 8 m)",Degradational terrace covered with slumped regolith,"Pongaroa-Weber (c. 2 km), Saunders-Waipukaka (c. 3 km), Alfredton-Makuri (c. 15 km) "
WBHS,Whangarei Boys High School,Stable,,"Concrete floor of concrete block wall, 1-storey, building with light storage loft above, iron-clad roof",Flat land on valley floor of Waiarohia Stream,Wairoa N (c. 154 km) 
WCDS,Wanganui Civil Defence Store,Stable,,"Concrete floor of light, 1-storey, timber-framed building, fibrolite cladding, corrugated iron roof. Annex to much larger concrete-walled building.",Flat land. Site 600m from river edge of 1500m wide river terace; floodplain of Wanganui river,Nukumaru-Waitototara 1-6 (c. 23 km) 
WCZ,Waipu Caves,Stable,,On concrete floor of purpose-built instrument vault,Near base of gully in rolling hill country,Wairoa N (c. 130 km) 
WDAS,Wainuiomata Bush Fire Force,Stable,,"Subsurface array (0, -12, -22 and -??m). Surface accelerometer on concrete floor of light timber framed building.",Alluvial valley,"Whitemans (c. 1 km), Wellington (Hutt Valley) (c. 7 km), Wairarapa-Nicholson (c. 11 km), Moonshine (c. 12 km), Ohariu S (c. 15 km)"
WDFS,Ward Fire Station,Stable,,"Concrete floor of light, 1-storey, timber-framed, iron-roofed garage.","Floor of flat valley, about 2km wide, in low hill country","Needles (c. 9 km), Clarence NE (c. 10 km), Jordan-Kekerengu-Chancet-SF (c. 13 km), Jordan-Kekerengu-Chancet-BL (c. 13 km), Kekerengu-Chancet (c. 13 km)"
WDPS,Woodville Police Station,Stable,5,"Concrete floor of single-storey timber-framed brick-clad building, corrugated-iron roof.","Flat site, floodplain of Manawatu River.","Woodville (c. 1 km), Wellington (Pahiatua) (c. 3 km), Ruahine S (c. 5 km), Pahiatua (c. 7 km), Ruahine Reverse (c. 13 km)"
WEL,Wellington,Stable,,On concrete floor of purpose-built instrument vault,"Crest of steep ridge, topographic effects likely","Wellington (Hutt Valley) (c. 0.5 km), Ohariu S (c. 5 km), Pukerua-Shepherds (c. 8 km), Moonshine (c. 9 km), Whitemans (c. 13 km)"
WEMS,Wellington Emergency Management Office,Stable,,"Concrete floor of basement of 1 storey timber framed building, weatherboard cladding, corrugated iron roof.",Gently sloping plain,"Wellington (Hutt Valley) (c. 0.4 km), Ohariu S (c. 5 km), Moonshine (c. 7 km), Pukerua-Shepherds (c. 8 km), Whitemans (c. 12 km)"
WHZ,Wether Hill Road,Low Landslide Susceptibility,,On concrete floor of purpose-built instrument vault,Gently undulating hills,"Takitimu 1 (c. 10 km), Takitimu 2 (c. 19 km) "
WICS,Wairoa College,Stable,,"Concrete floor of small, light, 1-storey timber building with an iron roof (about 3m x 4m)",Flat site on Wairoa River floodplain,Napier 1931 (c. 13 km) 
WIGC,Waiau Gorge,Stable,,"Concrete floor of ""Skyline"" type garage (light timber frame, iron cladding).",Edge of Canterbury Plains.,"Waitohi (c. 12 km), Hope-Conway (c. 14 km), Hope-Conway OS (c. 14 km), Lowry (c. 16 km), Hope 1888 (c. 18 km)"
WKHS,Whakatane High School,Stable,,"Concrete floor of single-storey timber-framed building. Chipboard lining inside, weatherboard exterior, corrugated-iron roof. (Store-room adjacent to Audio Visual room) (About 20m x 20m)",Flat ground about 1km from eastern edge of 20km wide Rangitaiki Plain.,"Whakatane N (c. 0.3 km), Edgecumb Coastal (c. 6 km), White Island 1 (c. 6 km), Awakeri (c. 9 km), Edgecumbe 1987 (c. 10 km)"
WKZ,Wanaka,Stable,,On concrete floor of purpose-built instrument vault,Near base of gully in steep hill country,"Cardrona S (c. 0.6 km), Cardrona N (c. 4 km) "
WLZ,Whitehall,Stable,,On concrete floor of purpose-built instrument vault,On gently sloping side of ridge,Kerepehi S (c. 19 km) 
WNAS,Wellington International Airport (fire station),Stable,5,"Concrete floor of light, 1-storey, steel-framed building",Raised beach deposits.,"Wellington (Hutt Valley) (c. 6 km), Whitemans (c. 8 km), Ohariu S (c. 11 km), Pukerua-Shepherds (c. 13 km), Moonshine (c. 13 km)"
WNHS,Wellington High School,Stable,,Concrete floor of 2-storey library block. The ground floor is of concrete block construction and the upper floor has steel frame and iron roof. Approx. 20m x 20m.,Crest of low hill. Topographic effects not expected.,"Wellington (Hutt Valley) (c. 2 km), Ohariu S (c. 7 km), Pukerua-Shepherds (c. 10 km), Moonshine (c. 10 km), Whitemans (c. 12 km)"
WNKS,Wellington Karori Normal School,Stable,,"Concrete floor of boiler room adjacent to school hall. Boiler room has reinforced concrete masonry walls, RC ceiling. Approx 4m x 10m.",Near crest of broad low ridge. Topographic effects unlikely.,"Wellington (Hutt Valley) (c. 1 km), Ohariu S (c. 3 km), Pukerua-Shepherds (c. 6 km), Moonshine (c. 10 km), Whitemans (c. 15 km)"
WNPS,Wanaka National Park Headquarters,Low Landslide Susceptibility,5,"Concrete ground floor of 2-storey building, ground floor concrete block construction, upper storey timber-framed.","Undulating topography, old lake terrace above town.","Cardrona N (c. 2 km), Grandview (c. 13 km), Cardrona S (c. 15 km) "
WPBS,Christchurch WestPac Bank,Stable,5,"Accelerograph array in 15 storey reinforced concrete building. No free-field instrument. WPBS and 503A - Basement, B - 7th floor, C - Mezzanine (15th floor level), D - Basement. Building piled. Building previously named Canterbury Savings Bank.",Flat site on floodplain of Waimakariri River.,Pegasus1NW (c. 24 km) 
WPWS,Waipawa District Council,Stable,,"Concrete floor of light, 1-storey, timber-framed building.",Low river terrrace (Waipawa River) in rolling hill country,"Waipukurau-Poukawa (c. 2 km), Tukituki  Thrust (c. 5 km) "
WRCS,Masterton Wairarapa College,Stable,,"Concrete floor of concrete-walled basement beneath 2-storey, weatherboard clad, classroom block",Near centre of 10km wide fluvial flood plain within rolling hill country,"Masterton (c. 0.3 km), Mokonui SW (c. 5 km), Carterton (c. 6 km), Wairarapa-Nicholson (c. 9 km), Kaumingi (c. 15 km)"
WSFC,Westpoint,Stable,,"Concrete floor of garage with light timber frame, concrete brick cladding.",Centre of Canterbury Plains.,Hutt-Peel (c. 20 km) 
WTMC,Waiau Te Mara Farm,Stable,,"Concrete floor of partly open shed (timber pole frame, iron cladding).",Crest of low hill in gently rolling terrain,"Lowry (c. 7 km), Hope-Conway (c. 10 km), Hope-Conway OS (c. 10 km), Hanmer (c. 13 km), Kaiwara N (c. 15 km)"
WVAS,Waitaha Valley (alluvial site),Stable,,On concrete floor of light timber framed building with corrugated iron roof,Floor of a broad alluvial valley.,Alpine (Fiordland-Kaniere) (c. 4 km) 
WVFS,Wairau Valley Kowhai Cluain Farms,Stable,,"Concrete floor of concrete block garage (c. 10 m x 6 m), iron roof cladding",Broad (about 3km wide) river terrace of Wairau River.,Wairau (c. 0.2 km) 
WVHS,Waverly High School,Low Landslide Susceptibility,,,Gently undulating marine terrace,"Waverly-Okaia 1 (c. 2 km), Moumah-Okaia 4 (c. 4 km), Ridge Road-Okaia 2 (c. 8 km), Waitototara 10-11 (c. 9 km), Nukumaru-Waitototara 1-6 (c. 17 km)"
WVZ,Waitaha Valley,Stable,,On concrete floor of purpose-built instrument vault,On top of a rounded outcrop of ice-scraped granite projecting a few metres above the floor of a broad alluvial valley.,Alpine (Fiordland-Kaniere) (c. 3 km) 
WVZS,Waitaha Valley (rock site),Stable,,On concrete pad (approx 2m x 2m) on top of granite outcrop.,On top of a rounded outcrop of ice-scraped granite projecting a few metres above the floor of a broad alluvial valley.,Alpine (Fiordland-Kaniere) (c. 3 km) 
